blockside,blocksweep,cnn,cnnrightle,corridor,district,fromhour,holidays,lf_fadd,lf_toadd,nhood,rt_fadd,rt_toadd,streetname,tohour,week1ofmon,week2ofmon,week3ofmon,week4ofmon,week5ofmon,weekday,zip_code,geometry,multigeom
,1613793,185207,R,03rd St,,02:00,Y,0,0,Mission Bay,1500,1598,03RD ST,06:00,Y,Y,Y,Y,Y,Sun,94107,"LINESTRING (-122.38946668820094 37.76975714301086, -122.38938718057578 37.76892532052666, -122.38930771587732 37.76881993751931)",false
,1613853,185207,R,03rd St,,02:00,N,0,0,Mission Bay,1500,1598,03RD ST,06:00,Y,Y,Y,Y,Y,Sat,94107,"LINESTRING (-122.38946668820094 37.76975714301086, -122.38938718057578 37.76892532052666, -122.38930771587732 37.76881993751931)",false
,1613912,185207,R,03rd St,,00:00,N,0,0,Mission Bay,1500,1598,03RD ST,02:00,Y,Y,Y,Y,Y,Mon,94107,"LINESTRING (-122.38946668820094 37.76975714301086, -122.38938718057578 37.76892532052666, -122.38930771587732 37.76881993751931)",false
,1613927,185207,R,03rd St,,00:00,N,0,0,Mission Bay,1500,1598,03RD ST,06:00,Y,Y,Y,Y,Y,Fri,94107,"LINESTRING (-122.38946668820094 37.76975714301086, -122.38938718057578 37.76892532052666, -122.38930771587732 37.76881993751931)",false
,1613794,185208,R,03rd St,,02:00,Y,0,0,Mission Bay,1600,1698,03RD ST,06:00,Y,Y,Y,Y,Y,Sun,94107,"LINESTRING (-122.38930771587732 37.76881993751931, -122.38936624081296 37.768706242482594, -122.38928673543721 37.76787441977724)",false
,1613854,185208,R,03rd St,,02:00,N,0,0,Mission Bay,1600,1698,03RD ST,06:00,Y,Y,Y,Y,Y,Sat,94107,"LINESTRING (-122.38930771587732 37.76881993751931, -122.38936624081296 37.768706242482594, -122.38928673543721 37.76787441977724)",false
,1613913,185208,R,03rd St,,00:00,N,0,0,Mission Bay,1600,1698,03RD ST,02:00,Y,Y,Y,Y,Y,Mon,94107,"LINESTRING (-122.38930771587732 37.76881993751931, -122.38936624081296 37.768706242482594, -122.38928673543721 37.76787441977724)",false
,1613928,185208,R,03rd St,,00:00,N,0,0,Mission Bay,1600,1698,03RD ST,06:00,Y,Y,Y,Y,Y,Fri,94107,"LINESTRING (-122.38930771587732 37.76881993751931, -122.38936624081296 37.768706242482594, -122.38928673543721 37.76787441977724)",false
SouthWest,1612988,132000,R,02nd St,,03:00,N,101,129,Financial District S,100,130,02ND ST,05:00,Y,Y,Y,Y,Y,Tues,94105,"LINESTRING (-122.39979802405745 37.788007160378264, -122.39925504879693 37.78757927735575)",false
SouthWest,1612993,132000,R,02nd St,,03:00,N,101,129,Financial District S,100,130,02ND ST,05:00,Y,Y,Y,Y,Y,Thu,94105,"LINESTRING (-122.39979802405745 37.788007160378264, -122.39925504879693 37.78757927735575)",false
SouthWest,1635542,132000,R,02nd St,,03:00,N,101,129,Financial District S,100,130,02ND ST,05:00,Y,Y,Y,Y,Y,Mon,94105,"LINESTRING (-122.39979802405745 37.788007160378264, -122.39925504879693 37.78757927735575)",false
SouthWest,1635548,132000,R,02nd St,,03:00,N,101,129,Financial District S,100,130,02ND ST,05:00,Y,Y,Y,Y,Y,Wed,94105,"LINESTRING (-122.39979802405745 37.788007160378264, -122.39925504879693 37.78757927735575)",false
SouthWest,1635554,132000,R,02nd St,,03:00,N,101,129,Financial District S,100,130,02ND ST,05:00,Y,Y,Y,Y,Y,Fri,94105,"LINESTRING (-122.39979802405745 37.788007160378264, -122.39925504879693 37.78757927735575)",false
SouthWest,1612989,133000,R,02nd St,,03:00,N,131,163,Financial District S,132,164,02ND ST,05:00,Y,Y,Y,Y,Y,Tues,94105,"LINESTRING (-122.39925504879693 37.78757927735575, -122.39878960012112 37.787203462678875)",false
SouthWest,1612994,133000,R,02nd St,,03:00,N,131,163,Financial District S,132,164,02ND ST,05:00,Y,Y,Y,Y,Y,Thu,94105,"LINESTRING (-122.39925504879693 37.78757927735575, -122.39878960012112 37.787203462678875)",false
SouthWest,1635543,133000,R,02nd St,,03:00,N,131,163,Financial District S,132,164,02ND ST,05:00,Y,Y,Y,Y,Y,Mon,94105,"LINESTRING (-122.39925504879693 37.78757927735575, -122.39878960012112 37.787203462678875)",false
SouthWest,1635549,133000,R,02nd St,,03:00,N,131,163,Financial District S,132,164,02ND ST,05:00,Y,Y,Y,Y,Y,Wed,94105,"LINESTRING (-122.39925504879693 37.78757927735575, -122.39878960012112 37.787203462678875)",false
SouthWest,1635555,133000,R,02nd St,,03:00,N,131,163,Financial District S,132,164,02ND ST,05:00,Y,Y,Y,Y,Y,Fri,94105,"LINESTRING (-122.39925504879693 37.78757927735575, -122.39878960012112 37.787203462678875)",false
SouthWest,1635544,134000,R,02nd St,,03:00,N,165,199,Financial District S,166,198,02ND ST,05:00,Y,Y,Y,Y,Y,Mon,94105,"LINESTRING (-122.39878960012112 37.787203462678875, -122.39825696334032 37.786778949550246)",false
SouthWest,1635550,134000,R,02nd St,,03:00,N,165,199,Financial District S,166,198,02ND ST,05:00,Y,Y,Y,Y,Y,Wed,94105,"LINESTRING (-122.39878960012112 37.787203462678875, -122.39825696334032 37.786778949550246)",false
SouthWest,1635556,134000,R,02nd St,,03:00,N,165,199,Financial District S,166,198,02ND ST,05:00,Y,Y,Y,Y,Y,Fri,94105,"LINESTRING (-122.39878960012112 37.787203462678875, -122.39825696334032 37.786778949550246)",false
